Journal name,Article/Patent Title,DOI/Pantent number,Article/Patent,Cell line name,Assay name,Standard Type,SMILES,Standard Relation,Standard Value,Standard Units
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA14 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C1CCC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C(C(C)(C)C)=C3)=CC=C2)O[H],=,0.42,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA15 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C1CCCC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C(C(C)(C)C)=C3)=CC=C2)O[H],=,1.3,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA16 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C1CCCCC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C(C(C)(C)C)=C3)=CC=C2)O[H],=,2.1,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA17 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C1=CC=CC=C1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C(C(C)(C)C)=C3)=CC=C2)O[H],=,1.2,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA18 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C(F)(F)F)C1=CC(OCC2=CC=C(C3=C(F)C=CC(OC)=C3)C(C(C)(C)C)=C2)=CC=C1)O[H],=,2.1,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA1 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](CCC)C1=CC(OCC(C=C2C(C)(C)C)=CC=C2C3=CC=CC(OC)=C3)=CC=C1,=,0.37,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA2 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](CCC)C1=CC(OCC(C=C2C(C)(C)C)=CC=C2C3=CC=CC(OC)=N3)=CC=C1,=,3.7,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA3 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](CCC)C1=CC(OCC(C=C2C(C)(C)C)=CC=C2C3=CN=CC(OC)=C3)=CC=C1,=,30,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA4 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC(C=C3C4=CCCC4(C)C)=CC=C3C5=C(F)C=NC(OC)=C5)=CC=C2,=,0.12,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA5 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC(C=C3C4=CCCC4(C)C)=CC=C3C5=C(F)C=CC(OC)=C5)=CC=C2,=,0.161,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA6 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C=C(C=C1)OC)C(C([C@H]2C(C)(C)CCC2)=C3)=CC=C3COC4=CC=CC([C@H](C5CC5)CC(O[H])=O)=C4,=,0.076,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA7 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C=C(N=C1)OC)C(C([C@H]2C(C)(C)CCC2)=C3)=CC=C3COC4=CC=CC([C@H](C5CC5)CC(O[H])=O)=C4,=,0.068,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA8 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C=C(N=C1)OC)C(C([C@H]2C(C)(C)CCC2)=C3)=CC=C3COC4=CC=CC([C@H](C5CC5)CC(O[H])=O)=C4F,=,0.093,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA9 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C([C@@H]5CCCC5(C)C)=C3)=CC=C2,=,0.076,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA10 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C(CC(C)(C)C)=C3)=CC=C2,=,0.088,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA11 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C([C@H](F)C(C)(C)C)=C3)=CC=C2,=,0.105,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA12 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C([C@H](OC)C(C)(C)C)=C3)=CC=C2,=,0.147,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA13 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C([C@H](OCC)C(C)(C)C)=C3)=CC=C2,=,0.114,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA14 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C([C@H]5C(C)(C)CCCO5)=C3)=CC=C2,=,0.227,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA15 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,O=C(O[H])C[C@@H](C1CC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C([C@@H](OC)C(C)(C)C)=C3)=CC=C2,=,1.41,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA16 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C(C([C@@H]2CCCC2(C)C)=C3)=CC=C3COC4=NC=CC([C@@H](CC(O[H])=O)C5CC5)=C4)C=C(N=C1)OC,=,0.108,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA17 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C(C([C@@H]2CCCC2(C)C)=C3)=CC=C3COC4=NC=CC([C@@H](CC(O[H])=O)CC)=C4)C=C(N=C1)OC,=,0.15,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA18 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C(C([C@@H]2CCCC2(C)C)=C3)=CC=C3COC4=NC=CC([C@@H](CC(O[H])=O)C)=C4)C=C(N=C1)OC,=,0.281,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA19 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C(C([C@@H]2CCCC2(C)C)=C3)=CC=C3COC4=NC=C5C([C@@](CC(O[H])=O)(CC5)C)=C4)C=C(N=C1)OC,=,0.128,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA20 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C(C([C@@H]2CCCC2(C)C)=C3)=CC=C3COC4=NC=C5C([C@@]([C@]6([H])C(O[H])=O)(C6)CC5)=C4)C=C(N=C1)OC,=,0.249,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA21 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C(C([C@@H](C(C)(C)C)OC)=C2)=CC=C2COC3=NC=C4C([C@@]([C@]5([H])C(O[H])=O)(C5)CC4)=C3)C=C(N=C1)OC,=,0.25,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA22 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C(C([C@@H](C(C)(C)C)OC)=C2)=CC=C2COC3=NC=CC([C@H](C4CC4)CC(O[H])=O)=C3)C=C(N=C1)OC,=,0.162,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Improving the Pharmacokinetics of GPR40/FFA23 Full Agonists,10.1021/ml4005123,Article,CHO,Aequorin Ca2+ flux assay,EC50,FC1=C(C(C([C@@H](C(C)(C)C)OC)=C2)=CC=C2COC3=NC=C4C([C@@](C)(CC(O[H])=O)CC4)=C3)C=C(N=C1)OC,=,0.235,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR40 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(OCC)C1=CC=C(C=C1)OCC2=CC=CC=C2C,=,0.02,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR41 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(OCC)C1=CC=C(C=C1)OCC2=CC=C(Cl)C(Cl)=C2,=,0.0062,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR42 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(C=C1)OCC2=CC=C(Cl)C(Cl)=C2,=,0.0039,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR43 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@@H](OCC)C1=CC=C(C=C1)OCC2=CC=C(Cl)C(Cl)=C2,=,0.36,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR44 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(C=C1)OCC2=CC=C(C(F)(F)F)C=C2,=,0.0053,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR45 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(O[C@@H]2CCC3=C2C=CC=C3)C=C1,=,0.031,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR46 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(O[C@H]2CCC3=C2C=CC=C3)C=C1,=,0.069,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR47 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(OC2CC(C=CC=C3)=C3C2)C=C1,=,0.083,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR48 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(O[C@@H]2CCC3=C2C=CC=C3C)C=C1,=,0.029,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR49 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(O[C@@H]2CCC3=C2C=CC=C3OCC)C=C1,=,0.063,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR50 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(O[C@@H]2CCC3=C2C=CC=C3Cl)C=C1,=,0.005,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR51 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(O[C@@H]2CCC3=C2C=CC=C3C(F)(F)F)C=C1,=,0.0037,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR52 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(O[C@H]2CCC3=C2C=CC=C3C(F)(F)F)C=C1,=,0.019,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR53 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@@H](OCC)C1=CC=C(O[C@H]2CCC3=C2C=CC=C3C(F)(F)F)C=C1,=,2.6,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR54 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@@H](OCC)C1=CC=C(O[C@@H]2CCC3=C2C=CC=C3C(F)(F)F)C=C1,=,0.33,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of DS-1558: A Potent and Orally Bioavailable GPR55 Agonist,10.1021/ml500391n,Article,CHO,Calcium flux assay,EC50,O=C(O[H])C[C@H](OCC)C1=CC=C(O[C@H]2C3=C(C=CC=C3)CCC2)C=C1,=,0.062,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR40 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,[H]C(CC(O[H])=O)C(C=C1)=CC=C1OCC(C=C2)=CC=C2OC,=,1.1,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR41 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(CC(CC)C(C=C1)=CC=C1OCC(C=C2)=CC=C2OC)O[H],=,3.2,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR42 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(CC(C=C)C(C=C1)=CC=C1OCC(C=C2)=CC=C2OC)O[H],=,0.9,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR43 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(CC(/C=C(C)/C)C(C=C1)=CC=C1OCC(C=C2)=CC=C2OC)O[H],=,0.12,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR44 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(CC(C(C)=C)C(C=C1)=CC=C1OCC(C=C2)=CC=C2OC)O[H],=,1.2,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR45 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(CC(C#CC)C(C=C1)=CC=C1OCC(C=C2)=CC=C2OC)O[H],=,0.26,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR46 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(C[C@@H](C#CC)C(C=C1)=CC=C1OCC(C=C2)=CC=C2OC)O[H],=,6.7,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR47 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(C[C@H](C#CC)C(C=C1)=CC=C1OCC(C=C2)=CC=C2OC)O[H],=,0.064,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR48 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(CC(C1=CC=C(F)C=C1)C(C=C2)=CC=C2OCC(C=C3)=CC=C3OC)O[H],=,0.58,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR49 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C(C=C1)=CC=C1OCC2=CC=CC=C2,=,0.62,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR50 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C(C=C1)=CC=C1OCC2=CC=C(C)C=C2,=,0.18,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR51 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C(C=C1)=CC=C1OCC2=CC=C(C(F)(F)F)C=C2,=,27,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR52 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C(C=C1)=CC=C1OCC2=CC=CC(OC)=C2,=,0.11,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR53 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C(C=C1)=CC=C1OCC2=CC=C(C3=CC=CC=C3)C=C2,=,1.2,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR54 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C(C=C1)=CC=C1OCC2=CC=CC=C2C3=CC=CC=C3,=,0.24,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR55 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C(C=C1)=CC=C1OCC2=CC(C3=CC=CC=C3)=CC=C2,=,0.058,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR56 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C(C=C1)=CC=C1OC2=CC(C3=CC=CC=C3)=CC=C2,=,0.36,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR57 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C1=CC=C(OCC2=CC(C3=CC=C(C(F)(F)F)C=C3)=CC=C2)C=C1,=,0.025,¦ÌM
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,"AMG 837: A potent, orally bioavailable GPR58 agonist",10.1016/j.bmcl.2011.10.118,Article,CHO,Calcium flux assay,EC50,O=C(O[H])CC(C#CC)C1=CC=C(OCCC2=CC=CC=C2)C=C1,=,6.2,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-6226: A Potent and Orally Bioavailable GPR40 Full Agonist that Displays Efficacy in Non-Human Primates.,10.1021/acsmedchemlett.8b00213,Article,CHO,Unknown,EC50,COC1=CC(C(C([C@H]2C(C)(C)CCC2)=C3)=CC=C3COC4=CC=CC(C(CC(O[H])=O)[H])=C4)=C(F)C=C1,=,0.45,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-6226: A Potent and Orally Bioavailable GPR41 Full Agonist that Displays Efficacy in Non-Human Primates.,10.1021/acsmedchemlett.8b00213,Article,CHO,Unknown,EC50,COC1=CC(C(C([C@H]2C(C)(C)CCC2)=C3)=CC=C3COC4=CC=CC([C@H](C)CC(O[H])=O)=C4)=C(F)C=C1,=,0.17,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-6226: A Potent and Orally Bioavailable GPR42 Full Agonist that Displays Efficacy in Non-Human Primates.,10.1021/acsmedchemlett.8b00213,Article,CHO,Unknown,EC50,COC1=CC(C(C([C@H]2C(C)(C)CCC2)=C3)=CC=C3COC4=CC=CC([C@H](CC)CC(O[H])=O)=C4)=C(F)C=C1,=,0.08,¦ÌM
