Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3787110,,0,242.32,0,3.25,13,O=C(O)CCc1ccc(C#CC2CCCC2)cc1,EC50,'=',489.78,nM,6.31,,,UO_0000065,26.04,0.48,3.06,16.92,FALSE,CHEMBL3791346,Agonist activity at human FFA1 receptor expressed in human 1321N1 cells measured for 50 intervals of 0.4 secs by calcium mobilization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,1321-N1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3785041,1,Scientific Literature,J. Med. Chem.,2016,None,
CHEMBL3787072,,0,232.25,0,2.77,25,C/C=C\C#Cc1ccc(CCC(=O)O)c(F)c1,EC50,'=',47.86,nM,7.32,,,UO_0000065,31.52,0.59,4.55,19.62,FALSE,CHEMBL3791346,Agonist activity at human FFA1 receptor expressed in human 1321N1 cells measured for 50 intervals of 0.4 secs by calcium mobilization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,1321-N1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3785041,1,Scientific Literature,J. Med. Chem.,2016,None,
CHEMBL3780293,,0,421.49,0,4.77,9,COCc1cc(C)n(-c2cccc(COc3ccc4c(c3)OCC4CC(=O)O)c2)c1C,EC50,,,,,,Not Determined,,,,,,FALSE,CHEMBL3783041,Agonist activity at human FFA1 expressed in CHO cells assessed as intracellular Ca2+ level measured for 90 secs by Fluo-4 AM-based FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3779832,1,Scientific Literature,Bioorg. Med. Chem.,2016,CHEMBL3308072,
CHEMBL3805558,,0,387.85,0,4.13,6b,O=C(O)CCc1nnc(C(=O)Nc2cccc(-c3cccc(Cl)c3)c2)s1,EC50,'=',1690,nM,5.77,,,UO_0000065,14.88,0.3,1.64,6.26,FALSE,CHEMBL3807104,Agonist activity at human GPR40 expressed in CHO cells by calcium influx assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3804779,1,Scientific Literature,Bioorg. Med. Chem.,2016,CHEMBL3308072,
CHEMBL4472821,,0,372.42,0,4.33,11,Cc1sc(-c2ccccc2)nc1CNc1ccc(OCC(=O)O)c(F)c1,EC50,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL4423421,Agonist activity at human FFA1 receptor expressed in CHO cells by Fluo 4-AM dye based FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4422628,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308072,
CHEMBL251963,,0,348.47,0,4.16,3,O=C(O)CSc1nnc(SCc2cccc3ccccc23)s1,EC50,'>=',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL944880,Activity at FFAR1 N244A mutant expressed in HEK-EM293 cells assessed as calcium influx by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,O14842,N244A,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140737,1,Scientific Literature,J. Med. Chem.,2008,CHEMBL3307715,
CHEMBL3924759,,0,334.8,0,4.65,7,CCOc1ccc(Cl)c(-c2ccc(OCCCC(=O)O)cc2)c1,EC50,'=',1126,nM,5.95,,,UO_0000065,17.77,0.35,1.3,10.67,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL3909872,,0,402.8,1,5.77,23,Cc1cc(-c2cc(OC(F)(F)F)ccc2Cl)cc(C)c1OCCCC(=O)O,EC50,'>',9950,nM,,,,UO_0000065,,,,,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL3900990,,0,372.31,0,4.94,26,Cc1cc(-c2cc(OC(F)(F)F)ccc2F)ccc1OCCCC(=O)O,EC50,'=',9260,nM,5.03,,,UO_0000065,13.52,0.26,0.09,9.03,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL3952316,,0,350.29,1,5.02,38,O=C(O)CCc1cc2cc(-c3cccc(OC(F)(F)F)c3)ccc2o1,EC50,'=',1391,nM,5.86,,,UO_0000065,16.72,0.32,0.84,9.82,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL3921062,,0,382.31,1,5.4,48,CC(Cc1cc2cc(-c3cc(OC(F)(F)F)ccc3F)ccc2o1)C(=O)O,EC50,'>',9950,nM,,,,UO_0000065,,,,,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL4206505,,0,401.44,0,3.4,42,Cc1noc(C)c1-c1cccc(COc2ccc(S(=O)(=O)CC(=O)O)cc2)c1,EC50,'=',269.15,nM,6.57,,,UO_0000065,,,,,FALSE,CHEMBL4192356,Agonist activity at human FFA1 receptor expressed in CHO cells assessed as increase in intracellular calcium flux by Fluo 4AM dye-based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190257,1,Scientific Literature,Eur J Med Chem,2017,None,
CHEMBL4218763,,0,398.44,0,3.92,40,O=C(O)CS(=O)(=O)c1ccc(OCc2cccc(Oc3ccccc3)c2)cc1,EC50,'=',97.72,nM,7.01,,,UO_0000065,,,,,FALSE,CHEMBL4192356,Agonist activity at human FFA1 receptor expressed in CHO cells assessed as increase in intracellular calcium flux by Fluo 4AM dye-based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4190257,1,Scientific Literature,Eur J Med Chem,2017,None,
CHEMBL4213597,,0,573.12,2,7,32,CC#C[C@@H](Cc1nnn[nH]1)c1ccc(OCc2ccc3sc(Cl)c(-c4ccc(OCCOC)cc4C)c3c2)cc1,EC50,'=',39,nM,7.41,,,UO_0000065,,,,,FALSE,CHEMBL4184698,Agonist activity at human GPR40 assessed as increase in intracellular calcium flux by cell based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4184098,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL1688466,,0,359.47,1,5.6,11,Cc1cccc(C)c1-c1cccc(CNc2ccc(CCC(=O)O)cc2)c1,EC50,'=',6.3,nM,8.2,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL4207911,,0,352.4,1,5.09,6,[2H]C([2H])(Cc1ccc(OCc2cc(F)ccc2-c2ccccc2)cc1)C(=O)O,EC50,'=',7900,nM,5.1,,,UO_0000065,,,,,FALSE,CHEMBL4181259,Agonist activity at human FFAR1 expressed in CHO cells assessed as increase in intracellular calcium level by Fluo 4-AM dye-based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4177656,1,Scientific Literature,Bioorg Med Chem,2017,None,
CHEMBL4177506,,0,457.53,1,5.25,15i,CC#CC(CC(=O)O)c1ccc(OCc2ccc(C(=O)NC3CCCc4ccccc43)o2)cc1,EC50,'=',133,nM,6.88,,,UO_0000065,,,,,FALSE,CHEMBL4154326,Agonist activity at human GPR40 expressed in HEK293 cells assessed as increase in calcium mobilization by Fluo-8 dye based fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4152239,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL4177310,,0,489.6,0,4.27,13g,CC#CC(CC(=O)O)c1ccc(OCc2ccc(C(=O)N3CCN(c4ccncc4)CC3)s2)cc1,EC50,'>',5000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL4154326,Agonist activity at human GPR40 expressed in HEK293 cells assessed as increase in calcium mobilization by Fluo-8 dye based fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4152239,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL589992,,0,350.2,0,3.99,9月3日,O=C1CC(Cc2ccc(Oc3ccc(Cl)cc3Cl)cc2)C(=O)N1,EC50,'=',6451,nM,5.19,,,UO_0000065,,,,,FALSE,CHEMBL1072787,Agonist activity at human GPR40 by FLIPR assay in presence of 1% BSA,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156842,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL597638,,0,313.38,0,3.68,9月18日,Cc1cccc(Oc2ccc(CC3SC(=O)NC3=O)cc2)c1,EC50,'=',203,nM,6.69,,,UO_0000065,,,,,FALSE,CHEMBL1072787,Agonist activity at human GPR40 by FLIPR assay in presence of 1% BSA,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156842,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL4166625,,0,465.53,1,6.04,22,COc1cc(-c2ccc(C3CCc4ccc([C@H](C5CC5)[C@H](C)C(=O)[O-])cc4O3)cc2)ccn1.[Na+],EC50,'=',1.6,nM,8.8,,,UO_0000065,,,,,FALSE,CHEMBL4151258,Agonist activity at recombinant human GPR40 expressed in HEK293 cells assessed as increase in IP1 accumulation measured after 60 mins by HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4145665,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4159022,,0,466.51,1,5.43,33,COc1cc(-c2ccc(C3CCc4ccc([C@H](C5CC5)[C@H](C)C(=O)[O-])cc4O3)nc2)ccn1.[Na+],EC50,'=',462,nM,6.33,,,UO_0000065,,,,,FALSE,CHEMBL4151259,Agonist activity at recombinant human GPR40 expressed in HEK293 cells assessed as increase in IP1 accumulation measured after 60 mins in presence of 100% human serum by HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4145665,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4162778,,0,483.52,1,6.18,16,COc1ccc(F)c(-c2ccc(C3CCc4ccc([C@H](C5CC5)[C@H](C)C(=O)[O-])cc4O3)nc2)c1.[Na+],EC50,'=',1379,nM,5.86,,,UO_0000065,,,,,FALSE,CHEMBL4151259,Agonist activity at recombinant human GPR40 expressed in HEK293 cells assessed as increase in IP1 accumulation measured after 60 mins in presence of 100% human serum by HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4145665,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4090240,,0,393.41,1,5.33,62,Cc1cccc(Oc2ccc(N3C[C@@H](C(F)(F)F)C[C@H]3CC(=O)O)cc2)c1C,EC50,'=',110,nM,6.96,,,UO_0000065,17.69,0.34,1.63,13.98,FALSE,CHEMBL4053223,Agonist activity at human GPR40 expressed in CHO-A12 cells assessed as increase in intracellular calcium flux measured for 100 secs by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4052594,1,Scientific Literature,J Med Chem,2017,None,
CHEMBL418695,,0,366.44,0,3.61,15a,O=C1NC(=O)C(Cc2ccc(OCCn3ccc4ccccc43)cc2)S1,EC50,'=',2190,nM,5.66,,,UO_0000065,,,,,FALSE,CHEMBL4121277,Transactivation of recombinant human FFAR1 expressed in CHOK1 cells co-expressing Galpha15 assessed as increase in calcium flux measured after 20 secs for 100 secs by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4118117,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL4129160,,0,397.46,0,2.5,15e,O=C1NC(=O)C(Cc2ccc(OCCn3c(CO)nc4ccccc43)cc2)S1,EC50,,,,,,Not Active,,,,,,FALSE,CHEMBL4121277,Transactivation of recombinant human FFAR1 expressed in CHOK1 cells co-expressing Galpha15 assessed as increase in calcium flux measured after 20 secs for 100 secs by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4118117,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL3628756,,0,424.47,1,5.55,Fig 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL38508,,0,471.5,1,6.34,GW0742,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)c(F)c3)nc2C)ccc1OCC(=O)O,EC50,,,,,,Not Determined,,,,,,FALSE,CHEMBL4423421,Agonist activity at human FFA1 receptor expressed in CHO cells by Fluo 4-AM dye based FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4422628,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308072,
CHEMBL4544058,,0,512.48,2,6.05,26i,CC#C[C@@H](CC(=O)O)c1ccc(OC[C@H]2COc3ccc(-c4ccc(OC(F)(F)F)cc4)cc3O2)cc1,EC50,'=',290,nM,6.54,,,UO_0000065,12.76,0.24,0.49,8.81,FALSE,CHEMBL4424141,Agonist activity at human FFA1 receptor expressed in HEK293 cells assessed as increase in intracellular Ca2+ flux by Fluo-4 dye based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4422654,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3307715,
CHEMBL1939641,,0,340.42,0,4.8,3e,COc1ccc(COc2ccc(C(C=C(C)C)CC(=O)O)cc2)cc1,EC50,'=',120,nM,6.92,,,UO_0000065,,,,,FALSE,CHEMBL1943341,Agonist activity at human GPR40 expressed in CHO cells assessed as calcium flux measured for 20 secs by aequorin assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1938292,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012,CHEMBL3308072,
CHEMBL4584872,,0,343.31,0,3.52,15,O=C(O)COc1ccc(OCc2ncc(-c3ccccc3)o2)cc1F,EC50,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL4423421,Agonist activity at human FFA1 receptor expressed in CHO cells by Fluo 4-AM dye based FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4422628,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308072,
CHEMBL4226180,,0,393.44,0,4.8,10,Cc1ccc(-c2c(C)noc2C)cc1COc1ccc2c(c1)OCC2CC(=O)O,EC50,'=',53.7,nM,7.27,,,UO_0000065,,,,,FALSE,CHEMBL4220336,Agonist activity at human FFA1 expressed in CHO cells assessed as increase in intracellular Ca2+ flux by Fluo-4 dye based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4219056,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL1829174,FASIGLIFAM,3,524.64,2,5.31,TAK-875,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,EC50,'=',31.8,nM,7.5,,,UO_0000065,,,,,FALSE,CHEMBL4220336,Agonist activity at human FFA1 expressed in CHO cells assessed as increase in intracellular Ca2+ flux by Fluo-4 dye based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4219056,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL4059947,,0,408.33,1,5.8,25 (enantiomer 2),O=C(O)CC1CCCCCN1c1ccc(OCc2ccc(Cl)cc2Cl)cc1,EC50,'=',6400,nM,5.19,,,UO_0000065,12.72,0.26,-0.61,10.44,FALSE,CHEMBL4053223,Agonist activity at human GPR40 expressed in CHO-A12 cells assessed as increase in intracellular calcium flux measured for 100 secs by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4052594,1,Scientific Literature,J Med Chem,2017,None,
CHEMBL4068606,,0,381.26,0,4.41,26,O=C(O)C[C@@H]1CCCN1c1ccc(OCc2ccc(Cl)cc2Cl)cn1,EC50,'=',220,nM,6.66,,,UO_0000065,17.46,0.36,2.25,10.62,FALSE,CHEMBL4053223,Agonist activity at human GPR40 expressed in CHO-A12 cells assessed as increase in intracellular calcium flux measured for 100 secs by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4052594,1,Scientific Literature,J Med Chem,2017,None,
