model,feat,roc,roc
fcnn,MOE,0.9171958667293435,0.025855634406034507
fcnn,Matrix,0.799007994667051,0.02443589053314811
fcnn,MorganFP,0.9315048878907717,0.025198500736351735
fcnn,Path,0.7744372837409084,0.05950741931238194
fcnn,PharmacoErGFP,0.9104840378144134,0.034608782104128245
fcnn,PharmacoPFP,0.9073715457348432,0.028275331837083837
fcnn,Property,0.8426200772043613,0.03019369725677347
fcnn,PubChemFP,0.927757007433808,0.03477927458973002
fcnn,RDkitFP,0.9268363124916155,0.034798991994897444
fcnn,Topology,0.793644726077147,0.041053042628876296
fcnn,TorsionFP,0.9281961216305028,0.029796698696624983
log,AtomPairFP,0.9286993501754445,0.025071313975694457
log,Autocorr,0.894666934339296,0.036030813429014624
log,AvalonFP,0.9277004689751969,0.03311569882022663
log,Charge,0.8014891053280448,0.024960730912192808
log,Connectivity,0.8384314493694329,0.03496291407823602
log,Constitution,0.8456271001696087,0.03386885471578636
log,Estate,0.8708099220619878,0.032811048664748765
log,EstateFP,0.8125502113281504,0.04796086164554088
log,Fragment,0.7982662327154932,0.039062276374057237
log,InfoContent,0.8200856075576622,0.03401855824554269
log,Kappa,0.773438022963699,0.026153250892607317
log,MACCSFP,0.8723822528388645,0.04347871528699997
log,MAP4,0.9279526458704803,0.023821168425148795
log,MHFP6,0.9009816490723483,0.020107135028265947
log,MOE,0.8769551317128274,0.034378040007578055
log,Matrix,0.8324000118767841,0.028587853946634916
log,MorganFP,0.9235393880095542,0.024682114754117176
log,Path,0.8054762641392446,0.03552257734027847
log,PharmacoErGFP,0.8935283939883633,0.04082104243872129
log,PharmacoPFP,0.8849742206363478,0.030729609594114908
log,Property,0.8193881316137273,0.02970980250674389
log,PubChemFP,0.9079189594782561,0.031485691553985375
log,RDkitFP,0.9259448069956001,0.01976595599092882
log,Topology,0.8118406526971963,0.03845625666600675
log,TorsionFP,0.9220089653755311,0.03131041000462351
rf,AtomPairFP,0.947093094196898,0.017920252718622607
rf,Autocorr,0.9224703409461871,0.02403048319033269
rf,AvalonFP,0.9438782678688427,0.024310825373420192
rf,Charge,0.9148716948871309,0.021306769494393394
rf,Connectivity,0.917335154278965,0.024426392943275786
rf,Constitution,0.9205211393032231,0.01956098545581715
rf,Estate,0.9293982163580485,0.013636471150392319
rf,EstateFP,0.8522681044460164,0.039704008915403696
rf,Fragment,0.8972073536352335,0.027873847034647372
rf,InfoContent,0.8824557691074564,0.02555859480575273
rf,Kappa,0.8560067009031151,0.03254032735699879
rf,MACCSFP,0.9233423926076665,0.024470430459014092
rf,MAP4,0.9389383636010041,0.024541127349547758
rf,MHFP6,0.9343312268252835,0.02262690893351993
rf,MOE,0.9303902908703476,0.02217274155784051
rf,Matrix,0.8946840204214977,0.02670491769565372
rf,MorganFP,0.9420258843555193,0.022307304290479845
rf,Path,0.8715724261688365,0.023476100060971457
rf,PharmacoErGFP,0.9177555790088604,0.02052647262472221
rf,PharmacoPFP,0.9091813014957429,0.02637956069689921
rf,Property,0.8928222495392429,0.027772701250862786
rf,PubChemFP,0.9326975834769808,0.022084274052708103
rf,RDkitFP,0.9441555112037234,0.021864463386801564
rf,Topology,0.8895671613933803,0.02807175003139725
rf,TorsionFP,0.940695927972383,0.020872817813872492
svm,AtomPairFP,0.9051124747618413,0.022104988990054763
svm,Autocorr,0.8945749187468632,0.03481575941933175
svm,AvalonFP,0.9132817280700343,0.03415635938956598
svm,Charge,0.7879048791585941,0.015072257898603628
svm,Connectivity,0.8184990253587218,0.026251841153631238
svm,Constitution,0.833264812728806,0.035408439952592616
svm,Estate,0.8672558579392525,0.039774636115599005
svm,EstateFP,0.7732332986290953,0.037537120820198534
svm,Fragment,0.7703586383363876,0.038764942020139366
svm,InfoContent,0.8047245119649962,0.031085094827524033
svm,Kappa,0.4774753023304802,0.20981956749777647
svm,MACCSFP,0.866200290216622,0.041261032654113974
svm,MAP4,0.9122355725415563,0.025860556952657033
svm,MHFP6,0.8832965263163282,0.018367066223763346
svm,MOE,0.8747825385250024,0.03244054234459751
svm,Matrix,0.8170560712298736,0.024793899137160208
svm,MorganFP,0.9100514593641675,0.019717971789001584
svm,Path,0.8009784063174766,0.026307471342943513
svm,PharmacoErGFP,0.8728168503605496,0.037700102322751415
svm,PharmacoPFP,0.8677393418438116,0.028565609775939596
svm,Property,0.7984377358673265,0.03425731346141516
svm,PubChemFP,0.8969757338500519,0.034233593196603164
svm,RDkitFP,0.8980316559013467,0.02479610711076021
svm,Topology,0.8108886616605575,0.04196157377176228
svm,TorsionFP,0.9070706314433693,0.029190456722428162
xgb,AtomPairFP,0.9441967764011847,0.0184200920235842
xgb,Autocorr,0.9286227463911303,0.02453295844799502
xgb,AvalonFP,0.9429135439969153,0.025859611663331273
xgb,Charge,0.9217204514531584,0.021854138634730697
xgb,Connectivity,0.9132416336110065,0.025863792444116566
xgb,Constitution,0.9215630906186139,0.024472731602232844
xgb,Estate,0.9304349197213172,0.021878031941367348
xgb,EstateFP,0.8656857071322163,0.03171863394758919
xgb,Fragment,0.9037784213852849,0.03390759349626694
xgb,InfoContent,0.8734664920844006,0.024241981527569234
xgb,Kappa,0.850056211472775,0.022531156389731768
xgb,MACCSFP,0.9229797465213083,0.028454058405190608
xgb,MAP4,0.9415845244746303,0.0243762855810622
xgb,MHFP6,0.9351751229022961,0.02452584866486665
xgb,MOE,0.9288633450500978,0.027961610462853146
xgb,Matrix,0.8938541114700698,0.03217520539250532
xgb,MorganFP,0.938871554559312,0.0175855022274033
xgb,Path,0.853988686867333,0.02034826089301062
xgb,PharmacoErGFP,0.9238190579500312,0.025269479463827862
xgb,PharmacoPFP,0.9135489515058272,0.027072947504514566
xgb,Property,0.8858889558730763,0.028686619593564607
xgb,PubChemFP,0.9345501296257366,0.023270876453091522
xgb,RDkitFP,0.942590606016449,0.023014980647034586
xgb,Topology,0.8780187723704481,0.029689173844204837
xgb,TorsionFP,0.9274153973925128,0.02839501670595893
